sector,property_type,built_up_area,bedRoom,bathroom,balcony,agePossession,servant room,store room,furnishing_type,luxury_category,floor_category,price
77.0,0.0,2250.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,2.72
103.0,0.0,1956.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,1.7
97.0,0.0,1541.7178663919317,3.0,3.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.08
13.0,1.0,5367.976,4.0,4.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,7.0
7.0,0.0,1500.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,1.1
80.0,0.0,1772.395262424524,4.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.7
83.0,1.0,5964.393999999999,4.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,5.35
52.0,1.0,3739.65,5.0,5.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,9.85
109.0,0.0,1730.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.96
75.0,0.0,1134.499535531816,2.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,2.33
8.0,0.0,2012.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,1.05
8.0,0.0,930.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.82
65.0,0.0,2400.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,1.74
56.0,1.0,3976.227,4.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,8.4
100.0,0.0,1736.370181142592,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,1.3
79.0,0.0,1787.6962378077103,3.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,1.85
100.0,0.0,1331.572224802601,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.25
41.0,0.0,1035.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1.4
69.0,0.0,1006.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.48
6.0,0.0,1148.2747804569617,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.99
80.0,0.0,588.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.6
65.0,0.0,539.7951695308872,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.45
83.0,0.0,1760.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.6
82.0,0.0,2159.277519739898,4.0,5.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0
87.0,0.0,1938.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.25
113.0,0.0,1132.7478975328872,2.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,0.87
95.0,0.0,2000.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,1.37
57.0,0.0,2018.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,1.9
84.0,0.0,292.36483975847653,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.39
11.0,0.0,721.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.51
3.0,0.0,1706.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,2.0,0.64
27.0,0.0,1407.980260102183,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.26
99.0,0.0,2529.8903855085928,4.0,4.0,4.0,3.0,1.0,0.0,1.0,1.0,2.0,2.3
1.0,0.0,1928.461,3.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,1.2
101.0,0.0,699.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.45
12.0,0.0,1639.2380399442638,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,0.95
101.0,0.0,1664.4168601950769,3.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,1.4
11.0,0.0,1748.0880167208547,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,1.32
99.0,0.0,1475.4788666976312,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.3
113.0,0.0,539.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.26
107.0,0.0,899.658615884812,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
6.0,0.0,1300.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.45
77.0,0.0,2200.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.05
97.0,1.0,2147.169,3.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,1.7
8.0,0.0,1394.5192754296331,2.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,1.5
11.0,0.0,1229.0169530887133,2.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,0.9
40.0,1.0,1440.434,4.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,3.5
32.0,1.0,6958.424,9.0,9.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,13.5
46.0,0.0,1971.211100789596,4.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.8
75.0,0.0,1349.9119999999998,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.9
49.0,1.0,778.3179999999999,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.67
105.0,0.0,2000.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,1.78
80.0,0.0,1905.0,3.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,1.8
107.0,1.0,1732.651,4.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.85
105.0,0.0,1453.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,0.75
31.0,0.0,6300.0,4.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,14.0
27.0,1.0,2415.525,4.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,4.99
59.0,0.0,2000.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.35
108.0,0.0,1350.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.25
6.0,0.0,2236.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,1.98
52.0,1.0,3739.65,4.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,10.5
73.0,0.0,1829.919182535996,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,3.35
107.0,0.0,1615.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,1.6
40.0,1.0,1417.5359999999998,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.6
75.0,0.0,1800.0,4.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.85
